table,seq,column,is_pk,is_fk,id,type,i1,size,width,description,proto_vid,d_caster,d_start_pos
brfss_county,94,_asthms1,,,c03G0101w,INTEGER,,1,1,_asthms1,,dot_caster,156
brfss_county,95,_drdxar1,,,c03G0101x,INTEGER,,1,1,_drdxar1,,dot_caster,157
brfss_county,96,_exteth2,,,c03G0101y,INTEGER,,1,1,_exteth2,,dot_caster,158
brfss_county,97,_alteth2,,,c03G0101z,INTEGER,,1,1,_alteth2,,dot_caster,159
brfss_county,98,_denvst2,,,c03G0101A,INTEGER,,1,1,_denvst2,,dot_caster,160
brfss_county,99,_prace,,,c03G0101B,INTEGER,,2,2,_prace,,dot_caster,161
brfss_county,100,_mrace,,,c03G0101C,INTEGER,,2,2,_mrace,,dot_caster,163
brfss_county,101,race2,,,c03G0101D,INTEGER,,1,1,race2,,dot_caster,165
brfss_county,102,_raceg2,,,c03G0101E,INTEGER,,1,1,_raceg2,,dot_caster,166
brfss_county,103,_racegr2,,,c03G0101F,INTEGER,,1,1,_racegr2,,dot_caster,167
brfss_county,104,_race_g,,,c03G0101G,INTEGER,,1,1,_race_g,,dot_caster,168
brfss_county,105,_ageg5yr,,,c03G0101H,INTEGER,,2,2,_ageg5yr,,dot_caster,169
brfss_county,106,_age65yr,,,c03G0101I,INTEGER,,1,1,_age65yr,,dot_caster,171
brfss_county,107,_age_g,,,c03G0101J,INTEGER,,1,1,_age_g,,dot_caster,172
brfss_county,108,htin4,,,c03G0101K,INTEGER,,3,3,htin4,,dot_caster,173
brfss_county,109,htm4,,,c03G0101L,INTEGER,,3,3,htm4,,dot_caster,176
brfss_county,110,wtkg3,,,c03G0101M,INTEGER,,5,5,wtkg3,,dot_caster,179
brfss_county,111,_bmi5,,,c03G0101N,INTEGER,,4,4,_bmi5,,dot_caster,184
brfss_county,112,_bmi5cat,,,c03G0101O,INTEGER,,1,1,_bmi5cat,,dot_caster,188
brfss_county,113,_rfbmi5,,,c03G0101P,INTEGER,,1,1,_rfbmi5,,dot_caster,189
brfss_county,114,_chldcnt,,,c03G0101Q,INTEGER,,1,1,_chldcnt,,dot_caster,190
brfss_county,115,_educag,,,c03G0101R,INTEGER,,1,1,_educag,,dot_caster,191
brfss_county,116,_incomg,,,c03G0101S,INTEGER,,1,1,_incomg,,dot_caster,192
brfss_county,117,_smoker3,,,c03G0101T,INTEGER,,1,1,_smoker3,,dot_caster,193
brfss_county,118,_rfsmok3,,,c03G0101U,INTEGER,,1,1,_rfsmok3,,dot_caster,194
brfss_county,119,drnkany5,,,c03G0101V,INTEGER,,1,1,drnkany5,,dot_caster,195
brfss_county,120,drocdy3,,,c03G0101W,INTEGER,,3,3,drocdy3,,dot_caster,196
brfss_county,121,_rfbing5,,,c03G0101X,INTEGER,,1,1,_rfbing5,,dot_caster,199
brfss_county,122,_drnkdy4,,,c03G0101Y,INTEGER,,4,4,_drnkdy4,,dot_caster,200
brfss_county,123,_drnkmo4,,,c03G0101Z,INTEGER,,4,4,_drnkmo4,,dot_caster,204
brfss_county,124,_rfdrhv4,,,c03G01020,INTEGER,,1,1,_rfdrhv4,,dot_caster,208
brfss_county,125,_rfdrmn4,,,c03G01021,INTEGER,,1,1,_rfdrmn4,,dot_caster,209
brfss_county,126,_rfdrwm4,,,c03G01022,INTEGER,,1,1,_rfdrwm4,,dot_caster,210
brfss_county,127,_flshot5,,,c03G01023,INTEGER,,1,1,_flshot5,,dot_caster,211
brfss_county,128,_pneumo2,,,c03G01024,INTEGER,,1,1,_pneumo2,,dot_caster,212
brfss_county,129,_rfseat2,,,c03G01025,INTEGER,,1,1,_rfseat2,,dot_caster,213
brfss_county,130,_rfseat3,,,c03G01026,INTEGER,,1,1,_rfseat3,,dot_caster,214
brfss_county,131,_rfmam2y,,,c03G01027,INTEGER,,1,1,_rfmam2y,,dot_caster,215
brfss_county,132,_mam502y,,,c03G01028,INTEGER,,1,1,_mam502y,,dot_caster,216
brfss_county,133,_rfpap32,,,c03G01029,INTEGER,,1,1,_rfpap32,,dot_caster,217
brfss_county,134,_rfpsa21,,,c03G0102a,INTEGER,,1,1,_rfpsa21,,dot_caster,218
brfss_county,135,_rfblds2,,,c03G0102b,INTEGER,,1,1,_rfblds2,,dot_caster,219
brfss_county,136,_rfsigm2,,,c03G0102c,INTEGER,,1,1,_rfsigm2,,dot_caster,220
brfss_county,137,_aidtst3,,,c03G0102d,INTEGER,,1,1,_aidtst3,,dot_caster,221
brfss_county,138,_cntywt,,,c03G0102e,REAL,,,10,_cntywt,,,222
brfss_county,139,cntyname,,,c03G0102f,VARCHAR,,50,50,cntyname,,stripper,232
brfss_county,140,_cnty,,,c03G0102g,INTEGER,,3,3,_cnty,,stripper,282
