"date","number","street","tickets"
2014-04-22,5700,"Hardy Ave",1
2014-04-22,600,"Island Ave",1
2014-04-22,5500,"Lindo Paseo ",1
2014-04-22,5600,"Lindo Paseo ",1
2014-04-22,5800,"Lindo Paseo ",1
2014-04-22,5100,"Montezuma Pl",1
2014-04-22,5600,"Montezuma Rd",1
2014-04-22,6100,"Montezuma Rd",1
2014-04-22,600,"State St",1
2014-04-22,500,"Union St",1
2014-04-22,3400,"Wightman St",1
2014-04-23,1400,"Columbia St",1
2014-04-23,1000,"India St",1
2014-04-23,900,"Kettner Blvd",1
2014-04-23,4900,"Poinsettia Dr",1
2014-04-23,1200,"Sixth ",1
2014-04-23,500,"Union St",1
2014-04-24,5100,"40Th St",1
2014-04-24,5400,"55Th St",1
2014-04-24,1400,"8Th Ave",1
2014-04-24,1400,"9Th Ave",1
2014-04-24,2300,"Calle Chiquita St",1
2014-04-24,7900,"Calle De La Plata ",1
2014-04-24,8000,"Calle De La Plata ",1
2014-04-24,2200,"Camino Del Collado ",1
2014-04-24,8200,"Camino Del Oro ",1
2014-04-24,1900,"El Paseo Grande ",1
2014-04-24,5600,"Hardy Ave",1
2014-04-24,600,"Hawthorn St",1
2014-04-24,5500,"Lindo Paseo ",1
2014-04-24,5600,"Lindo Paseo ",1
2014-04-24,5700,"Lindo Paseo ",1
2014-04-24,7900,"Lowry Ter",1
2014-04-24,5100,"Montezuma Pl",1
2014-04-24,5600,"Montezuma Rd",1
2014-04-24,5700,"Montezuma Rd",1
2014-04-24,8000,"Paseo Del Ocaso ",1
2014-04-24,8400,"Paseo Del Ocaso ",1
2014-04-24,1900,"Paseo Dorado ",1
2014-04-24,2000,"Paseo Dorado ",1
2014-04-24,600,"So Gloria St",1
2014-04-24,300,"So Willie James Jones Ave",1
2014-04-24,363600,"Wightman St",1
2014-04-25,1400,"9Th Ave",1
2014-04-25,500,"J St",1
2014-04-25,600,"Kettner Blvd",1
2014-04-25,800,"Kettner Blvd",1
2014-04-25,900,"Kettner Blvd",1
2014-04-28,4000," ",1
2014-04-28,900,"15Th St",1
2014-04-28,1000,"15Th St",1
2014-04-28,7800,"42Nd St",1
2014-04-28,1300,"B St",1
2014-04-28,1400,"B St",1
2014-04-28,3800,"Lincoln Ave",1
2014-04-28,4300,"Louisiana Ave",1
2014-04-28,300,"Monroe Ave",1
2014-04-28,3200,"Ventura Pl",1
2014-04-29,2700,3101,1
2014-04-29,1200,"10Th Ave",1
2014-04-29,500,"11Th Ave",1
2014-04-29,600,"3Rd Ave",1
2014-04-29,5400,"55Th St",1
2014-04-29,900,"Broadway Cir",1
2014-04-29,5500,"Hardy Ave",1
2014-04-29,5700,"Hardy Ave",1
2014-04-29,1000,"India St",1
2014-04-29,5500,"Lindo Paseo ",1
2014-04-29,5600,"Lindo Paseo ",1
2014-04-29,5800,"Lindo Paseo ",1
2014-04-29,5100,"Montezuma Pl",1
2014-04-29,5600,"Montezuma Rd",1
2014-04-29,5700,"Montezuma Rd",1
2014-04-30,500,"F St",1
2014-04-30,1000,"G St",1
2014-04-30,1100,"India St",1
2014-05-01,500,"11Th Ave",1
2014-05-01,5400,"55Th St",1
2014-05-01,2400,"Avd De La Playa ",1
2014-05-01,900,"Beryl St",1
2014-05-01,1000,"Beryl St",1
2014-05-01,1200,"Beryl St",1
2014-05-01,1400,"Beryl St",1
2014-05-01,900,"Broadway Cir",1
2014-05-01,7900,"Calle De La Plata ",1
2014-05-01,4000,"Dawes St",1
2014-05-01,2100,"De La Ribera ",1
2014-05-01,1000,"E.Briarfield Dr",1
2014-05-01,1400,"Edge Cliff Dr",1
2014-05-01,4400,"Everts St",1
2014-05-01,4500,"Everts St",1
2014-05-01,4600,"Everts St",1
2014-05-01,4700,"Everts St",1
2014-05-01,4900,"Everts St",1
2014-05-01,5000,"Everts St",1
2014-05-01,3800,"Fairmount Ave",1
2014-05-01,4100,"Fairmount Ave",1
2014-05-01,2600,"Figueroa Blvd",1
2014-05-01,2700,"Figueroa Blvd",1
2014-05-01,4400,"Figueroa Blvd",1
2014-05-01,600,"G St",1
2014-05-01,700,"G St",1
2014-05-01,800,"G St",1
2014-05-01,2000,"Garnet Ave",1
2014-05-01,3900,"Gresham St",1
2014-05-01,3700,"Haines St",1
2014-05-01,4700,"Haines St",1
2014-05-01,4800,"Haines St",1
2014-05-01,5500,"Hardy Ave",1
2014-05-01,5600,"Hardy Ave",1
2014-05-01,5700,"Hardy Ave",1
2014-05-01,3900,"Honeycutt St",1
2014-05-01,4000,"Honeycutt St",1
2014-05-01,1700,"Hornblend St",1
2014-05-01,1800,"Hornblend St",1
2014-05-01,1900,"Hornblend St",1
2014-05-01,2000,"Hornblend St",1
2014-05-01,2600,"Hornblend St",1
2014-05-01,2700,"Hornblend St",1
2014-05-01,4200,"Jewell St",1
2014-05-01,300,"K St",1
2014-05-01,3800,"Kendall St",1
2014-05-01,3900,"Kendall St",1
2014-05-01,4000,"Kendall St",1
2014-05-01,4200,"Kendall St",1
2014-05-01,4300,"Kendall St",1
2014-05-01,4400,"Kendall St",1
2014-05-01,1500,"La Cima Dr",1
2014-05-01,1400,"La Mancha Dr",1
2014-05-01,1700,"La Mancha Dr",1
2014-05-01,1300,"La Palma St",1
2014-05-01,3800,"Lamont St",1
2014-05-01,3900,"Lamont St",1
2014-05-01,5500,"Lindo Paseo ",1
2014-05-01,5600,"Lindo Paseo ",1
2014-05-01,5700,"Lindo Paseo ",1
2014-05-01,5800,"Lindo Paseo ",1
2014-05-01,7900,"Lowry ",1
2014-05-01,2600,"Magnolia Ave",1
2014-05-01,2700,"Magnolia Ave",1
2014-05-01,100,"Market St",1
2014-05-01,5100,"Montezuma Pl",1
2014-05-01,5700,"Montezuma Rd",1
2014-05-01,1600,"Moorland Dr",1
2014-05-01,4200,"Morrell St",1
2014-05-01,4300,"Morrell St",1
2014-05-01,5000,"Niagara Ave",1
2014-05-01,4100,"Noyes St",1
2014-05-01,4200,"Noyes St",1
2014-05-01,4300,"Noyes St",1
2014-05-01,4400,"Noyes St",1
2014-05-01,1800,"Oliver Ave",1
2014-05-01,1900,"Oliver Ave",1
2014-05-01,4100,"Olney St",1
2014-05-01,4200,"Olney St",1
2014-05-01,4300,"Olney St",1
2014-05-01,4700,"Olney St",1
2014-05-01,1100,"Opal St",1
2014-05-01,2000,"Pacific Beach Dr",1
2014-05-01,2100,"Pacific Beach Dr",1
2014-05-01,2200,"Pacific Beach Dr",1
2014-05-01,3800,"Pacific Beach Dr",1
2014-05-01,3900,"Pacific Beach Dr",1
2014-05-01,1200,"Parker Pl",1
2014-05-01,8400,"Paseo Del Ocaso ",1
2014-05-01,2000,"Paseo Dorado ",1
2014-05-01,2100,"Paseo Dorado ",1
2014-05-01,2200,"Paseo Dorado ",1
2014-05-01,4700,"Point Loma Ave",1
2014-05-01,3500,"Promontory St",1
2014-05-01,3700,"Promontory St",1
2014-05-01,1700,"Reed Ave",1
2014-05-01,1800,"Reed Ave",1
2014-05-01,1900,"Reed Ave",1
2014-05-01,2000,"Reed Ave",1
2014-05-01,2100,"Reed Ave",1
2014-05-01,7900,"Roseland ",1
2014-05-01,4000,"Sequoia St",1
2014-05-01,1800,"Thomas Ave",1
2014-05-01,1900,"Thomas Ave",1
2014-05-01,2000,"Thomas Ave",1
2014-05-01,2100,"Thomas Ave",1
2014-05-01,3000,"University Ave",1
2014-05-01,4700,"University Ave",1
2014-05-01,1000,"W.Briarfield ",1
2014-05-01,800,"Wilbur Ave",1
2014-05-01,900,"Wilbur Ave",1
2014-05-01,1000,"Wilbur Ave",1
2014-05-01,1200,"Wilbur Ave",1
2014-05-01,3600,"Yosemite St",1
2014-05-01,3700,"Yosemite St",1
2014-05-02,300,"11Th Ave",1
2014-05-02,500,"E St",1
2014-05-02,600,"El Prado ",1
2014-05-02,1000,"India St",1
2014-05-02,100,"J St",1
2014-05-02,500,"J St",1
2014-05-02,700,"J St",1
2014-05-02,800,"J St",1
2014-05-02,900,"J St",1
2014-05-02,4600,"Ocean Blvd",1
2014-05-02,5100,"Saratoga Ave",1
2014-05-02,500,"Union St",1
2014-05-05,1000,"15Th St",1
2014-05-05,1800,"C St",1
2014-05-05,1300,"Columbia St",1
2014-05-05,1000,"India St",1
2014-05-05,1100,"India St",1
2014-05-05,600,"Island Ave",1
2014-05-05,1500,"Island Ave",1
2014-05-05,600,"Kettner Blvd",1
2014-05-05,4600,"Ocean Blvd",1
2014-05-05,6300,"Park Blvd",1
2014-05-05,1600,"Pentecost Way",1
2014-05-05,1300,"Union St",1
2014-05-06,3000,"32Nd St",1
2014-05-06,600,"Ash St",1
2014-05-06,1300,"B St",1
2014-05-06,1400,"B St",1
2014-05-06,800,"Beech St",1
2014-05-06,500,"E St",1
2014-05-06,5500,"Hardy Ave",1
2014-05-06,800,"Kettner Blvd",1
2014-05-06,5800,"Lindo Paseo ",1
2014-05-06,1800,"Market St",1
2014-05-06,2200,"Market St",1
2014-05-06,5500,"Montezuma Rd",1
2014-05-06,5600,"Montezuma Rd",1
2014-05-06,6100,"Montezuma Rd",1
2014-05-06,3700,"Ocean View Blvd",1
2014-05-07,1700,"Chalcedony St Tail In St",1
2014-05-07,400,"E St",1
2014-05-07,2100,"Emerald St",1
2014-05-07,1400,"Graham St",1
2014-05-07,3900,"Gresham St",1
2014-05-07,3900,"Haines St",1
2014-05-07,900,"Kalmia St",1
2014-05-07,1500,"La Cima Dr",1
2014-05-07,1600,"Law St Tail In St",1
2014-05-07,4600,"Noyes St",1
2014-05-07,4700,"Noyes St",1
2014-05-07,4800,"Noyes St",1
2014-05-07,4500,"Olney St",1
2014-05-07,4700,"Olney St",1
2014-05-07,1400,"Roosevelt Ave",1
2014-05-07,3600,"Sunset Cliffs Blvd",1
2014-05-08,500,"11Th Ave",1
2014-05-08,100,"49Th St",1
2014-05-08,5400,"55Th St",1
2014-05-08,2400,"Avenida De La Playa ",1
2014-05-08,2400,"Calle Del Oro ",1
2014-05-08,2600,"Calle Del Oro ",1
2014-05-08,2100,"Calle Frescota ",1
2014-05-08,500,"E St",1
2014-05-08,600,"Gloria St",1
2014-05-08,600,"K St",1
2014-05-08,5500,"Lindo Paseo ",1
2014-05-08,5600,"Lindo Paseo ",1
2014-05-08,5700,"Lindo Paseo ",1
2014-05-08,5800,"Lindo Paseo ",1
2014-05-08,2000,"Lowry Pl",1
2014-05-08,7900,"Lowry Ter",1
2014-05-08,5100,"Montezuma Pl",1
2014-05-08,5700,"Montezuma Rd",1
2014-05-08,8300,"Paseo Del Ocaso ",1
2014-05-08,2100,"Paseo Dorado ",1
2014-05-09,1300,"8Th Ave",1
2014-05-09,1400,"8Th Ave",1
2014-05-09,1000,"Columbia St",1
2014-05-09,1100,"E St",1
2014-05-09,100,"J St",1
2014-05-09,500,"J St",1
2014-05-09,500,"Union St",1
2014-05-09,600,"Union St",1
2014-05-12,4600,"30Th St",1
2014-05-12,1200,"9Th Ave",1
2014-05-12,1300,"B St",1
2014-05-12,1400,"B St",1
2014-05-12,1000,"Columbia St",1
2014-05-12,600,"E St",1
2014-05-12,4400,"Florida St",1
2014-05-12,4400,"Georgia St",1
2014-05-12,4500,"Georgia St",1
2014-05-12,4600,"Georgia St",1
2014-05-12,800,"Kettner Blvd",1
2014-05-12,900,"Kettner Blvd",1
2014-05-12,3900,"Louisiana Ave",1
2014-05-12,4000,"Louisiana Ave",1
2014-05-12,4100,"Louisiana Ave",1
2014-05-12,4200,"Louisiana Ave",1
2014-05-12,4300,"Louisiana Ave",1
2014-05-12,4600,"Louisiana Ave",1
2014-05-12,1900,"Madison Ave",1
2014-05-12,1900,"Meade Ave",1
2014-05-12,2000,"Meade Ave",1
2014-05-12,2400,"Meade Ave",1
2014-05-12,2800,"Meade Ave",1
2014-05-12,3100,"Midway Dr",1
2014-05-12,2200,"Mission Ave",1
2014-05-12,2200,"Monroe Ave",1
2014-05-12,2300,"Monroe Ave",1
2014-05-12,2500,"Monroe Ave",1
2014-05-12,2600,"Monroe Ave",1
2014-05-12,4600,"Ocean Blvd",1
2014-05-12,1600,"Pentecost Way",1
2014-05-12,2000,"Polk Ave",1
2014-05-12,4300,"Reno Dr",1
2014-05-13,4200," ",1
2014-05-13,1000,"15Th St",1
2014-05-13,5400,"55Th St",1
2014-05-13,1300,"8Th Ave",1
2014-05-13,1300,"B St",1
2014-05-13,1400,"B St",1
2014-05-13,853800,"Grand Ave",1
2014-05-13,5700,"Hardy Ave",1
2014-05-13,600,"Island Ave",1
2014-05-13,2300,"Lincoln Ave",1
2014-05-13,2400,"Lincoln Ave",1
2014-05-13,2500,"Lincoln Ave",1
2014-05-13,3000,"Lincoln Ave",1
2014-05-13,5500,"Lindo Paseo ",1
2014-05-13,5600,"Lindo Paseo ",1
2014-05-13,5700,"Lindo Paseo ",1
2014-05-13,5800,"Lindo Paseo ",1
2014-05-13,3900,"Louisiana Ave",1
2014-05-13,4000,"Louisiana Ave",1
2014-05-13,4100,"Louisiana Ave",1
2014-05-13,4300,"Louisiana Ave",1
2014-05-13,4500,"Louisiana Ave",1
2014-05-13,4600,"Louisiana Ave",1
2014-05-13,5100,"Montezuma Pl",1
2014-05-13,5500,"Montezuma Rd",1
2014-05-13,5600,"Montezuma Rd",1
2014-05-13,5700,"Montezuma Rd",1
2014-05-13,1800,"Polk Ave",1
2014-05-13,3900,"Utah St",1
2014-05-13,2000,"Van Dyke Ave",1
2014-05-14,400,"Elm Ave",1
2014-05-14,1000,"India St",1
2014-05-15,7900,"Avd Alamar ",1
2014-05-15,2300,"Avd De La Playa ",1
2014-05-15,2400,"Avd De La Playa ",1
2014-05-15,5400,"Balboa Arms Dr",1
2014-05-15,5500,"Balboa Arms Dr",1
2014-05-15,5600,"Balboa Arms Dr",1
2014-05-15,600,"Beech St",1
2014-05-15,700,"Beech St",1
2014-05-15,800,"Beech St",1
2014-05-15,3200,"Bramson ",1
2014-05-15,2300,"Calle Corta ",1
2014-05-15,8000,"Calle Del Cielo ",1
2014-05-15,8100,"Calle Del Cielo ",1
2014-05-15,2300,"Calle Del Oro ",1
2014-05-15,2400,"Calle Del Oro ",1
2014-05-15,2500,"Calle Del Oro ",1
2014-05-15,2200,"Calle Maria ",1
2014-05-15,2200,"Cm Del Reposo ",1
2014-05-15,700,"Date St",1
2014-05-15,400,"Fir St",1
2014-05-15,1000,"Grand Ave",1
2014-05-15,1100,"Grand Ave",1
2014-05-15,1200,"Grand Ave",1
2014-05-15,1300,"Grand Ave",1
2014-05-15,1400,"Grand Ave",1
2014-05-15,1500,"Grand Ave",1
2014-05-15,2100,"Grand Ave",1
2014-05-15,2200,"Grand Ave",1
2014-05-15,2600,"Grand Ave",1
2014-05-15,1000,"India St",1
2014-05-15,1000,"J St",1
2014-05-15,800,"Kettner Blvd",1
2014-05-15,2000,"Lowry Pl",1
2014-05-15,2600,"Mission Blvd",1
2014-05-15,2700,"Mission Blvd",1
2014-05-15,2800,"Mission Blvd",1
2014-05-15,2900,"Mission Blvd",1
2014-05-15,3100,"Mission Blvd",1
2014-05-15,3200,"Mission Blvd",1
2014-05-15,3300,"Mission Blvd",1
2014-05-15,3400,"Mission Blvd",1
2014-05-15,3500,"Mission Blvd",1
2014-05-15,3600,"Mission Blvd",1
2014-05-15,3700,"Mission Blvd",1
2014-05-15,3800,"Mission Blvd",1
2014-05-15,3900,"Mission Blvd",1
2014-05-15,4000,"Mission Blvd",1
2014-05-15,5700,"Montezuma Rd",1
2014-05-15,7900,"Paseo Del Ocaso ",1
2014-05-15,8000,"Paseo Del Ocaso ",1
2014-05-15,8200,"Paseo Del Ocaso ",1
2014-05-15,8300,"Paseo Del Ocaso ",1
2014-05-15,8400,"Paseo Del Ocaso ",1
2014-05-15,2000,"Paseo Dorado ",1
2014-05-15,2100,"Paseo Dorado ",1
2014-05-15,2200,"Paseo Dorado ",1
2014-05-15,2300,"Paseo Dorado ",1
2014-05-15,700,"San Fernando Pl",1
2014-05-15,1000,"State St",1
2014-05-15,1800,"State St",1
2014-05-16,300,"11Th Ave",1
2014-05-16,1100,"A St",1
2014-05-16,1900,"Del Sur Blvd",1
2014-05-16,700,"Emerald St",1
2014-05-16,800,"G St",1
2014-05-16,100,"J St",1
2014-05-16,900,"Kettner Blvd",1
2014-05-16,4700,"Mission Blvd",1
2014-05-16,4800,"Mission Blvd",1
2014-05-16,4600,"Ocean Blvd",1
2014-05-16,700,"Reed Ave",1
2014-05-16,2100,"Saratoga Ave",1
2014-05-16,500,"Union St",1
2014-05-16,600,"Union St",1
2014-05-19,1000,"15Th St",1
2014-05-19,-1,"17Th St",1
2014-05-19,5100,"835 Pl",1
2014-05-19,1100,"A St",1
2014-05-19,1300,"B St",1
2014-05-19,5800,"Division ",1
2014-05-19,1000,"E St",1
2014-05-19,1000,"India St",1
2014-05-19,4700,"Marlborough Ave",1
2014-05-19,4700,"Mtn View Dr",1
2014-05-19,1600,"Pentecost Way",1
2014-05-19,500,"Union St",1
2014-05-19,1300,"Union St",1
2014-05-20,1200,"10Th Ave",1
2014-05-20,1000,"15Th St",1
2014-05-20,-1,"17Th St",1
2014-05-20,3000,"32Nd St",1
2014-05-20,5400,"55Th St",1
2014-05-20,1300,"9Th Ave",1
2014-05-20,1400,"B St",1
2014-05-20,700,"Beech St",1
2014-05-20,800,"Beech St",1
2014-05-20,500,"E St",1
2014-05-20,1300,"Front St",1
2014-05-20,5500,"Hardy Ave",1
2014-05-20,5700,"Hardy Ave",1
2014-05-20,5500,"Montezuma Rd",1
2014-05-20,5600,"Montezuma Rd",1
2014-05-20,5700,"Montezuma Rd",1
2014-05-20,6100,"Montezuma Rd",1
2014-05-21,2000,2105,1
2014-05-21,900,"Kalmia St",1
2014-05-21,600,"Kettner Blvd",1
2014-05-21,4700,"Marlborough Ave",1
2014-05-21,4700,"Mtn View Dr",1
2014-05-21,2200,"State St",1
2014-05-22,100,"49Th St",1
2014-05-22,8500,"Avd De Las Ondas ",1
2014-05-22,700,"Broadway Cir",1
2014-05-22,2200,"Calle Clara ",1
2014-05-22,2300,"Calle Corta ",1
2014-05-22,7900,"Calle De La Plata ",1
2014-05-22,8000,"Calle De La Plata ",1
2014-05-22,8000,"Calle Del Cielo ",1
2014-05-22,2300,"Calle Del Oro ",1
2014-05-22,2100,"Cm Del Reposo ",1
2014-05-22,8100,"Cm Del Sol ",1
2014-05-22,500,"Gloria St",1
2014-05-22,600,"Gloria St",1
2014-05-22,900,"Kalmia St",1
2014-05-22,2000,"Lowry Pl",1
2014-05-22,8000,"Paseo Del Ocaso ",1
2014-05-22,8200,"Paseo Del Ocaso ",1
2014-05-22,8400,"Paseo Del Ocaso ",1
2014-05-22,1900,"Paseo Dorado ",1
2014-05-22,2100,"Paseo Dorado ",1
2014-05-23,2100,2163,1
2014-05-23,400,"E St",1
2014-05-23,1000,"India St",1
2014-05-23,100,"J St",1
2014-05-23,500,"Union St",1
2014-05-27,1000,"15Th St",1
2014-05-27,5400,"55Th St",1
2014-05-27,39600,"Bancroft St",1
2014-05-27,800,"Beech St",1
2014-05-27,5700,"Hardy Ave",1
2014-05-27,1000,"India St",1
2014-05-27,1500,"Island Ave",1
2014-05-27,5500,"Lindo Paseo ",1
2014-05-27,5600,"Lindo Paseo ",1
2014-05-27,5700,"Lindo Paseo ",1
2014-05-27,5800,"Lindo Paseo ",1
2014-05-27,3900,"Louisiana Ave",1
2014-05-27,4300,"Louisiana Ave",1
2014-05-27,4400,"Louisiana Ave",1
2014-05-27,5100,"Montezuma Pl",1
2014-05-27,5500,"Montezuma Rd",1
2014-05-27,5600,"Montezuma Rd",1
2014-05-27,5700,"Montezuma Rd",1
2014-05-27,6100,"Montezuma Rd",1
2014-05-27,500,"Union St",1
2014-05-28,1100,"A St",1
2014-05-28,600,"Union St",1
2014-05-29,700,"Beech St",1
2014-05-29,800,"Beech St",1
2014-05-29,800,"Cedar St",1
2014-05-29,1100,"F St",1
2014-05-29,800,"G St",1
2014-05-29,900,"G St",1
2014-05-29,1100,"G St",1
2014-05-29,500,"J St",1
2014-05-29,800,"J St",1
2014-05-29,900,"J St",1
2014-05-29,500,"K St",1
2014-05-29,600,"K St",1
2014-05-29,900,"Kalmia St",1
2014-05-29,5500,"Lindo Paseo ",1
2014-05-29,5600,"Lindo Paseo ",1
2014-05-29,5700,"Lindo Paseo ",1
2014-05-29,5800,"Lindo Paseo ",1
2014-05-29,5600,"Montezuma Rd",1
2014-05-29,5700,"Montezuma Rd",1
2014-05-30,200,"14Th St",1
2014-05-30,300,"14Th St",1
2014-05-30,400,"14Th St",1
2014-05-30,300,"15Th St",1
2014-05-30,200,"16Th St",1
2014-05-30,300,"16Th St",1
2014-05-30,2100,"Avenida De La Playa ",1
2014-05-30,7500,"Eads Ave",1
2014-05-30,7800,"Eads Ave",1
2014-05-30,7600,"Girard Ave",1
2014-05-30,7800,"Girard Ave",1
2014-05-30,800,"J St",1
2014-05-30,900,"J St",1
2014-05-30,1000,"J St",1
2014-05-30,1300,"J St",1
2014-05-30,1500,"K St",1
2014-05-30,900,"Prospect St",1
2014-05-30,1000,"Prospect St",1
2014-06-02,1000,"15Th St",1
2014-06-02,-1,"17Th St",1
2014-06-02,3300,"35Th St",1
2014-06-02,1500,"Island Ave",1
2014-06-02,5100,"La Paz ",1
2014-06-02,7000,"San Fernando Pl",1
2014-06-02,1200,"Willie James Jones Ave",1
2014-06-03,1000,"15Th St",1
2014-06-03,-1,"17Th St",1
2014-06-03,4000,"38Th St",1
2014-06-03,5400,"55Th St",1
2014-06-03,200,"6Th Ave",1
2014-06-03,1300,"B St",1
2014-06-03,5700,"Hardy Ave",1
2014-06-03,1000,"India St",1
2014-06-03,5500,"Lindo Paseo ",1
2014-06-03,5600,"Lindo Paseo ",1
2014-06-03,5700,"Lindo Paseo ",1
2014-06-03,5500,"Montezuma Rd",1
2014-06-03,5600,"Montezuma Rd",1
2014-06-03,5700,"Montezuma Rd",1
2014-06-03,6100,"Montezuma Rd",1
2014-06-04,200,"6Th Ave",1
2014-06-04,2000,"Academy Pl",1
2014-06-04,11800,"Diamond St",1
2014-06-04,800,"G St",1
2014-06-04,1000,"India St",1
2014-06-04,1600,"Morrell St",1
2014-06-04,4200,"Morrell St",1
2014-06-04,4300,"Morrell St",1
2014-06-04,4100,"Noyes St",1
2014-06-04,4200,"Noyes St",1
2014-06-04,1800,"Oliver Ave",1
2014-06-04,1900,"Oliver Ave",1
2014-06-04,2000,"Oliver Ave",1
2014-06-04,2100,"Oliver Ave",1
2014-06-04,4100,"Olney St",1
2014-06-04,4200,"Olney St",1
2014-06-04,4400,"Olney St",1
2014-06-04,1700,"Reed Ave",1
2014-06-04,1800,"Reed Ave",1
2014-06-04,1900,"Reed Ave",1
2014-06-04,2000,"Reed Ave",1
2014-06-04,2100,"Reed Ave",1
2014-06-04,1400,"Roosevelt Ave",1
2014-06-04,1800,"Thomas Ave",1
2014-06-04,1900,"Thomas Ave",1
2014-06-04,2000,"Thomas Ave",1
2014-06-04,2100,"Thomas Ave",1
2014-06-05,800,"25Th St",1
2014-06-05,1200,"28Thst ",1
2014-06-05,5400,"55Th St",1
2014-06-05,700,"Broadway Cir",1
2014-06-05,1900,"Broadway Mtr 1910 ",1
2014-06-05,500,"E St",1
2014-06-05,1500,"Eden Dr",1
2014-06-05,1600,"Eden Dr",1
2014-06-05,4700,"Fanuel St",1
2014-06-05,4800,"Fanuel St",1
2014-06-05,1400,"La Mancha Dr",1
2014-06-05,5500,"Lindo Paseo ",1
2014-06-05,5600,"Lindo Paseo ",1
2014-06-05,5700,"Lindo Paseo ",1
2014-06-05,5600,"Montezuma Rd",1
2014-06-05,5700,"Montezuma Rd",1
2014-06-05,7900,"Paseo Del Ocaso ",1
2014-06-05,8000,"Paseo Del Ocaso ",1
2014-06-05,8200,"Paseo Del Ocaso ",1
2014-06-05,8400,"Paseo Del Ocaso ",1
2014-06-05,2100,"Paseo Dorado ",1
2014-06-05,6000,"Point Loma Ave",1
2014-06-05,600,"Union St",1
2014-06-06,600,"E St",1
2014-06-06,700,"Law St",1
2014-06-06,4700,"Mission Blvd",1
2014-06-06,4800,"Mission Blvd",1
2014-06-06,4900,"Mission Blvd",1
2014-06-06,500,"Union St",1
2014-06-06,500,"Voltaire St",1
2014-06-09,1000,"15Th St",1
2014-06-09,300,"17Th St",1
2014-06-09,400,"17Th St",1
2014-06-09,300,"3Rd Ave",1
2014-06-09,2900,"Adams ",1
2014-06-09,1300,"B St",1
2014-06-09,1400,"B St",1
2014-06-09,400,"E St",1
2014-06-09,1000,"India St",1
2014-06-09,4700,"Lantana ",1
2014-06-09,4800,"Lantana ",1
2014-06-09,-1,"Law St",1
2014-06-09,3900,"Louisiana Ave",1
2014-06-09,4000,"Louisiana Ave",1
2014-06-09,4100,"Louisiana Ave",1
2014-06-09,4200,"Louisiana Ave",1
2014-06-09,4300,"Louisiana Ave",1
2014-06-09,4400,"Louisiana Ave",1
2014-06-09,4500,"Louisiana Ave",1
2014-06-09,4600,"Louisiana Ave",1
2014-06-09,4600,"Ocean Blvd",1
2014-06-09,1600,"Pentecost Way",1
2014-06-09,500,"Union St",1
2014-06-10,1000,"15Th St",1
2014-06-10,5400,"55Th St",1
2014-06-10,1300,"B St",1
2014-06-10,800,"Beech St",1
2014-06-10,900,"Broadway Cir",1
2014-06-10,5700,"Hardy Ave",1
2014-06-10,5500,"Lindo Paseo ",1
2014-06-10,5600,"Lindo Paseo ",1
2014-06-10,5800,"Lindo Paseo ",1
2014-06-10,3900,"Louisiana Ave",1
2014-06-10,4000,"Louisiana Ave",1
2014-06-10,4100,"Louisiana Ave",1
2014-06-10,4300,"Louisiana Ave",1
2014-06-10,4500,"Louisiana Ave",1
2014-06-10,4600,"Louisiana Ave",1
2014-06-10,5100,"Montezuma Pl",1
2014-06-10,5500,"Montezuma Rd",1
2014-06-10,5600,"Montezuma Rd",1
2014-06-10,5700,"Montezuma Rd",1
2014-06-10,500,"Union St",1
2014-06-11,600,"Island Ave",1
2014-06-12,8400,"Avd De Las Ondas ",1
2014-06-12,800,"Beech St",1
2014-06-12,700,"Broadway Cir",1
2014-06-12,2300,"Calle Corta ",1
2014-06-12,7900,"Calle De La Plata ",1
2014-06-12,8000,"Calle De La Plata ",1
2014-06-12,8000,"Calle Del Cielo ",1
2014-06-12,2200,"Camino De Colado ",1
2014-06-12,8100,"Camino Del Sol ",1
2014-06-12,700,"Date St",1
2014-06-12,2100,"De La Ribera ",1
2014-06-12,1100,"F St",1
2014-06-12,5600,"Hardy Ave",1
2014-06-12,5700,"Hardy Ave",1
2014-06-12,5500,"Lindo Paseo ",1
2014-06-12,5600,"Lindo Paseo ",1
2014-06-12,5700,"Lindo Paseo ",1
2014-06-12,7900,"Lowry Ter",1
2014-06-12,5600,"Montezuma Rd",1
2014-06-12,5700,"Montezuma Rd",1
2014-06-12,8000,"Paseo Del Ocaso ",1
2014-06-12,1900,"Paseo Dorado ",1
2014-06-12,2100,"Paseo Dorado ",1
2014-06-13,2100,"Avenida De La Playa ",1
2014-06-13,1000,"India St",1
2014-06-13,100,"J St",1
2014-06-13,2100,"Poinsettia Dr",1
2014-06-13,800,"San Fernando Pl",1
2014-06-13,500,"Union St",1
2014-06-13,600,"Union St",1
2014-06-16,1000,"15Th St",1
2014-06-16,-1,"17Th St",1
2014-06-16,3000,"Adams ",1
2014-06-16,2000,"Adams Ave",1
2014-06-16,1300,"B St",1
2014-06-16,1400,"B St",1
2014-06-16,3200,"Bramsom Pl",1
2014-06-16,1000,"India St",1
2014-06-16,900,"Kettner Blvd",1
2014-06-16,4700,"Marlborough Ave",1
2014-06-16,700,"Mission Blvd",1
2014-06-16,2800,"Mission Blvd",1
2014-06-16,2900,"Mission Blvd",1
2014-06-16,5300,"Naranja St",1
