"date","number","street","tickets"
2014-01-13,4700,"Mission Blvd",1
2014-01-13,5000,"Mission Blvd",1
2014-01-13,5100,"Mission Blvd",1
2014-01-13,4600,"Ocean Blvd",1
2014-01-13,4900,"Ocean Blvd",1
2014-01-13,1600,"Pentecost Way",1
2014-01-13,2900,"San Fernando Pl",1
2014-01-13,600,"State St",1
2014-01-14,363500," ",1
2014-01-14,2700,"28Th St",1
2014-01-14,5400,"55Th St",1
2014-01-14,1400,"7Th Ave",1
2014-01-14,1400,"9Th Ave",1
2014-01-14,800,"A St",1
2014-01-14,700,"Ash St",1
2014-01-14,1300,"B St",1
2014-01-14,700,"Beech St",1
2014-01-14,800,"Beech St",1
2014-01-14,600,"E St",1
2014-01-14,900,"E St",1
2014-01-14,1600,"F St",1
2014-01-14,5700,"Hardy Ave",1
2014-01-14,1500,"Island Ave",1
2014-01-14,5500,"Lindo Paseo ",1
2014-01-14,5600,"Lindo Paseo ",1
2014-01-14,3900,"Louisiana Ave",1
2014-01-14,4000,"Louisiana Ave",1
2014-01-14,4100,"Louisiana Ave",1
2014-01-14,4200,"Louisiana Ave",1
2014-01-14,5600,"Montezuma Rd",1
2014-01-15,4700,"30Thst ",1
2014-01-15,400,"Felton St",1
2014-01-15,4700,"Marlborough Ave",1
2014-01-15,1800,"State St",1
2014-01-15,4700,"W.Mtn View Dr",1
2014-01-16,1200,"10Th Ave",1
2014-01-16,1900,"22Nd St",1
2014-01-16,2100,"22Nd St",1
2014-01-16,2400,"25Th St",1
2014-01-16,1700,"6Th Ave",1
2014-01-16,1400,"8Th Ave",1
2014-01-16,8400,"Avd De La Ondas ",1
2014-01-16,700,"Broadway Cir",1
2014-01-16,2200,"Calle Clara ",1
2014-01-16,2200,"Calle Del Oro ",1
2014-01-16,2500,"Calle Del Oro ",1
2014-01-16,2200,"Calle Frescota ",1
2014-01-16,700,"Date St",1
2014-01-16,100,"Elm Ave",1
2014-01-16,5500,"Hardy Ave",1
2014-01-16,5600,"Hardy Ave",1
2014-01-16,900,"Kalmia St",1
2014-01-16,5500,"Lindo Paseo ",1
2014-01-16,5600,"Lindo Paseo ",1
2014-01-16,5800,"Lindo Paseo ",1
2014-01-16,5600,"Montezuma Rd",1
2014-01-16,5700,"Montezuma Rd",1
2014-01-16,7900,"Paseo Del Ocaso ",1
2014-01-16,8000,"Paseo Del Ocaso ",1
2014-01-16,8100,"Paseo Del Ocaso ",1
2014-01-16,2100,"Paseo Dorado ",1
2014-01-16,2200,"Paseo Dorado ",1
2014-01-16,2300,"Paseo Dorado ",1
2014-01-17,300,"11Th Ave",1
2014-01-17,5400,"Cape May Ave",1
2014-01-17,600,"J St",1
2014-01-17,900,"Kettner Blvd",1
2014-01-17,4600,"Ocean Blvd",1
2014-01-17,900,"Radel Dr",1
2014-01-17,1900,"Raydel Ct",1
2014-01-17,1000,"Raydel Dr",1
2014-01-17,500,"Saratoga Ave",1
2014-01-21,500,"11Th Ave",1
2014-01-21,1000,"13Th St",1
2014-01-21,1000,"15Th St",1
2014-01-21,800,"16Th St",1
2014-01-21,-1,"17Th St",1
2014-01-21,400,"2Nd Ave",1
2014-01-21,500,"2Nd Ave",1
2014-01-21,500,"3Rd Ave",1
2014-01-21,500,"4Th Ave",1
2014-01-21,1100,"4Th Ave",1
2014-01-21,5400,"55Th St",1
2014-01-21,600,"5Th Ave",1
2014-01-21,700,"5Th Ave",1
2014-01-21,800,"5Th Ave",1
2014-01-21,1000,"6Th Ave",1
2014-01-21,1100,"8Th Ave",1
2014-01-21,800,"A St",1
2014-01-21,1200,"B St",1
2014-01-21,1300,"B St",1
2014-01-21,700,"Beech St",1
2014-01-21,800,"Beech St",1
2014-01-21,800,"Broadway Cir",1
2014-01-21,900,"Broadway Cir",1
2014-01-21,1400,"C St",1
2014-01-21,700,"E St",1
2014-01-21,1000,"E St",1
2014-01-21,200,"F St",1
2014-01-21,600,"F St",1
2014-01-21,1000,"F St",1
2014-01-21,1100,"F St",1
2014-01-21,1300,"F St",1
2014-01-21,500,"G St",1
2014-01-21,600,"G St",1
2014-01-21,700,"G St",1
2014-01-21,1300,"G St",1
2014-01-21,5700,"Hardy Ave",1
2014-01-21,600,"Island Ave",1
2014-01-21,1200,"Island Ave",1
2014-01-21,1500,"Island Ave",1
2014-01-21,700,"Kettner Blvd",1
2014-01-21,5500,"Lindo Paseo ",1
2014-01-21,5600,"Lindo Paseo ",1
2014-01-21,5800,"Lindo Paseo ",1
2014-01-21,900,"Market St",1
2014-01-21,1200,"Market St",1
2014-01-21,5100,"Montezuma Pl",1
2014-01-21,5500,"Montezuma Rd",1
2014-01-21,5600,"Montezuma Rd",1
2014-01-21,5700,"Montezuma Rd",1
2014-01-21,6100,"Montezuma Rd",1
2014-01-21,700,"State St",1
2014-01-22,1700,"6Th Ave",1
2014-01-22,1400,"9Th Ave",1
2014-01-22,1100,"A St",1
2014-01-22,600,"E St",1
2014-01-22,1800,"India St",1
2014-01-22,800,"Kettner Blvd",1
2014-01-22,2000,"State St",1
