table,position,source_header,dest_header,datatype,valuetype,has_codes,start,width,size,summary,description
mrfei,1,state,state,str,,False,,,,,state
mrfei,2,fips,fips,int,,False,,,,,fips
mrfei,3,mrfei,mrfei,float,,False,,,,,mrfei
